Signature ID,Percent Overlap (P915_H_p),adj p-val (P915_H_p),Overlap (P915_H_p),Score (P915_H_p)
KEGG_ACUTE_MYELOID_LEUKEMIA,47.4,0.8796234489,SOS2|MTOR|STAT5B|ARAF|EIF4EBP1|MAP2K2|SOS1|MAPK3|AKT3|BRAF|NFKB1|MAPK1|RAF1|PML|BAD|STAT5A|PIK3R1|RPS6KB1|JUP|IKBKB|PIK3R2|PIK3CD|RUNX1|IKBKG|STAT3|RELA|AKT2,-0.4153000116
KEGG_ADHERENS_JUNCTION,54.8,0.0101860465,SMAD3|ERBB2|PTPN1|FER|MAP3K7|SMAD2|MAPK3|PARD3|VCL|CTNNA1|SRC|MAPK1|CTNND1|TJP1|ACTB|SORBS1|WASL|WASF2|BAIAP2|EP300|WASF3|LMO7|FARP2|MET|NLK|ACTN4|IQGAP1|WASF1|PTPRJ|CREBBP|PTPRM|CTNNB1|ACTN1|EGFR|CSNK2B|SSX2IP|ACTN2|RAC1|CDH1|FYN,-5.0426998138
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,37.3,0.3446105429,MTOR|PRKAB2|PRKAB1|IRS2|AKT3|SLC2A1|NFKB1|IRS4|RXRA|MAPK8|PTPN11|STK11|CAMKK1|IKBKB|PRKCQ|IKBKG|ACSL4|MAPK9|CAMKK2|PRKAA1|ACSL3|STAT3|RELA|PRKAG2|AKT2,-1.8107000589
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,28.6,0.5937673537,NEDD4L|IRS2|MAPK3|PDPK1|ATP1A1|IRS4|MAPK1|PIK3R1|PIK3R2|PIK3CD|ATP1B3|PRKCA,-1.2015999556
KEGG_ALZHEIMERS_DISEASE,15.7,0.7382544991,PLCB3|APBB1|ITPR1|ITPR3|SNCA|CASP3|PSEN2|MAPK3|MAPK1|UQCRC2|NDUFV3|EIF2AK3|ADAM10|CDK5|BAD|GSK3B|MME|GAPDH|PLCB1|ADAM17|ATP2A2|PLCB2|PSEN1|APH1A|FAS|CAPN2,0.8057000041
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,34.1,0.3637873754,UGDH|UGP2|NANS|GFPT2|HK1|PGM2|GPI|RENBP|PGM3|GFPT1|PGM1|CYB5R3|NAGK|GNPDA1|GALK1,-1.9075000286
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,20.8,0.9140816449,MAPK14|MAPK12|CASP3|ALS2|BAD|CCS|MAP2K3|GPX1|RAB5A|DAXX|RAC1,0.2574999928
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,14.8,0.6770173477,RFX5|CANX|HSP90AA1|NFYA|HSP90AB1|HSPA8|HSPA1L|HSPA4|TAP2|PSME2|CREB1|PSME3|CD74,-0.9279000163
KEGG_APOPTOSIS,28.7,0.744514408,RIPK1|AIFM1|ATM|IRAK1|CASP3|PRKAR2A|AKT3|NFKB1|PRKAR2B|BAD|PIK3R1|XIAP|IKBKB|PIK3R2|PIK3CD|IKBKG|PRKAR1B|CASP6|PRKACA|IL1RAP|FAS|CAPN2|DFFA|RELA|AKT2,0.7542999983
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,21.6,0.3994196891,LMNA|EMD|DMD|CTNNA1|ACTB|ITGB5|ITGB1|JUP|ACTN4|ITGA4|ATP2A2|CTNNB1|ACTN1|ACTN2|SLC8A1|DAG1,1.6248999834
KEGG_AXON_GUIDANCE,37.2,0.0101860465,PAK1|ARHGEF12|PAK2|SEMA5A|LIMK1|ABL1|SRGAP2|DPYSL2|MAPK3|SEMA6A|SRGAP1|NFATC2|MAPK1|CDK5|LIMK2|NFATC3|EPHB4|GSK3B|CFL1|ITGB1|MET|NCK1|PLXNB3|SEMA6D|PAK4|EPHA2|NCK2|ROBO2|PTK2|RGS3|EFNB2|PLXNB2|NFATC4|PLXNA1|ROCK2|EFNB3|NFATC1|SRGAP3|ABLIM1|PLXNC1|L1CAM|SEMA4F|SEMA4C|RAC1|ROBO1|FYN|CFL2|EFNB1,-6.940100193
KEGG_BASAL_TRANSCRIPTION_FACTORS,34.3,0.0264924696,GTF2I|TAF7|GTF2B|TAF9|TAF6|TAF9B|TAF12|GTF2F1|TAF10|GTF2IRD1|TAF6L|TAF2,4.2097001076
KEGG_BASE_EXCISION_REPAIR,31.4,0.6770173477,HMGB1|POLD3|XRCC1|MBD4|LIG1|POLE|PARP1|PARP4|POLE3|LIG3|UNG,1.0098999739
KEGG_BLADDER_CANCER,38.1,0.7382544991,ERBB2|ARAF|MAP2K2|MAPK3|BRAF|MAPK1|RAF1|DAPK2|RASSF1|E2F1|EGFR|E2F3|DAPK1|RB1|CDKN1A|CDH1,-0.8284999728
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,33.3,0.1609347443,SOS2|MAP2K2|SOS1|MAPK3|AKT3|NFKB1|NFATC2|MAPK1|RAF1|NFATC3|GSK3B|BCL10|PIK3R1|JUN|PLCG2|IKBKB|PIK3R2|PIK3CD|IKBKG|LYN|NFATC4|NFATC1|RELA|RAC1|AKT2,-2.5796999931
KEGG_CALCIUM_SIGNALING_PATHWAY,22.5,0.0101860465,PLCB3|CAMK4|ITPKB|PLCG1|ERBB2|ITPR1|ITPR3|ERBB3|PHKA2|MYLK|ADCY9|CAMK2D|PTK2B|SLC25A6|ATP2B4|PLCG2|SPHK2|PLCB1|ATP2A2|PLCB2|VDAC1|EGFR|ADCY3|ADCY2|EDNRB|PHKB|VDAC2|PRKACA|SLC25A5|PDE1C|ATP2B1|PLCD3|VDAC3|ITPKA|SLC8A1|P2RX7|PRKCA|TBXA2R|CAMK2B|CAMK2G,-5.0380997658
KEGG_CELL_ADHESION_MOLECULES_CAMS,12.8,0.0958191541,CD276|CD99|PVR|SDC3|ITGB1|MPZ|MPZL1|ITGA4|NEO1|PTPRM|NCAM1|ICAM1|L1CAM|SPN|JAM3|CDH1|F11R,-2.9207999706
KEGG_CELL_CYCLE,59.2,0.3989840535,PRKDC|ATM|MCM3|ANAPC1|SMAD3|MCM6|CHEK2|CHEK1|MCM2|ABL1|CDC16|SMC1A|CDC25C|TTK|BUB1|SMAD2|ESPL1|CDC25B|ORC1|SKP2|RBL1|PKMYT1|MCM7|ANAPC7|CDK7|CDK2|CDC7|ANAPC5|DBF4|SMC3|MCM4|MCM5|RBL2|WEE1|STAG2|STAG1|CDKN1B|EP300|GSK3B|ATR|CDC27|BUB1B|ANAPC4|CCNE2|CDC26|ZBTB17|SKP1|ANAPC2|CDK1|YWHAG|TFDP2|BUB3|YWHAZ|ORC6|YWHAQ|CREBBP|E2F1|PLK1|CDC6|CDC20|ORC2|PTTG1|E2F3|CCNE1|RB1|E2F5|CCNH|TFDP1|MAD1L1|YWHAE|CCNB2|CDC25A|CDKN1A|CDC23,1.7522000074
KEGG_CHEMOKINE_SIGNALING_PATHWAY,25.9,0.3989840535,PLCB3|SOS2|STAT2|SHC1|PAK1|PREX1|STAT5B|STAT1|PRKCD|SOS1|MAPK3|PARD3|PXN|AKT3|BCAR1|BRAF|NFKB1|SHC4|MAPK1|ADCY9|RAF1|TIAM1|WASL|ARRB1|CRK|PTK2B|GSK3B|PIK3R1|RAP1A|IKBKB|PIK3R2|PIK3CD|PTK2|IKBKG|PLCB1|FOXO3|LYN|PLCB2|ADCY3|ROCK2|ADCY2|GNG12|GNB2|ADCY6|PRKACA|STAT3|RELA|RAC1|AKT2,-1.7590999603
KEGG_CHRONIC_MYELOID_LEUKEMIA,49.3,0.8480528053,SOS2|CBLB|SHC1|SMAD3|STAT5B|ARAF|CBL|ABL1|MAP2K2|SOS1|MAPK3|AKT3|BRAF|NFKB1|SHC4|BCR|MAPK1|RAF1|PTPN11|GAB2|CDKN1B|BAD|CRK|STAT5A|PIK3R1|IKBKB|PIK3R2|PIK3CD|RUNX1|IKBKG|E2F1|E2F3|RB1|RELA|CDKN1A|AKT2,0.4988999963
KEGG_COLORECTAL_CANCER,41.9,0.6898012382,MSH6|SMAD3|ARAF|MLH1|CASP3|SMAD2|MAPK3|AKT3|BRAF|MAPK1|APC|MAPK8|RAF1|APC2|APPL1|BAD|GSK3B|PIK3R1|AXIN1|JUN|PIK3R2|PIK3CD|MAPK9|CTNNB1|RAC1|AKT2,-0.9388999939
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,32.4,0.8902439024,DNMT1|MAT2B|AHCYL1|AHCYL2|DNMT3B|MAT2A|LDHA|LDHB|GOT2|DNMT3A|APIP,-0.3064999878
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,5.7,0.0101860465,PLEKHO2|ACVR2A|MET|RELT|BMPR2|IFNAR2|IL6ST|NGFR|EGFR|IL10RB|ACVR2B|IFNAR1|IL1RAP|IL17RA|FAS,-4.9082999229
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,21.8,0.1609347443,RIPK1|ADAR|TBK1|POLR3C|NFKB1|MAVS|IKBKE|IKBKB|IKBKG|TREX1|POLR3G|RELA,2.4453001022
