Signature ID,Percent Overlap (P605_H_p),adj p-val (P605_H_p),Overlap (P605_H_p),Score (P605_H_p)
KEGG_ACUTE_MYELOID_LEUKEMIA,49.1,0.9622129387,SOS2|EIF4EBP1|SOS1|MAP2K2|BAD|RAF1|MAP2K1|MTOR|PML|STAT3|MAPK3|PIK3R1|RUNX1|RELA|ARAF|RPS6KB1|BRAF|MAPK1|IKBKB|IKBKG|TCF7L2|AKT2|NFKB1|STAT5B|AKT3|JUP|KIT|MYC,-0.1298000067
KEGG_ADHERENS_JUNCTION,58.9,0.5105413105,TJP1|LMO7|MAP3K7|CTNNA1|ACTN4|PTPN1|BAIAP2|EP300|CTNND1|PARD3|CTNNB1|IQGAP1|MAPK3|NLK|PTPRF|VCL|TGFBR2|EGFR|ACTB|SSX2IP|MAPK1|SMAD4|WASL|CREBBP|TCF7L2|PTPRB|FYN|ACTN1|SRC|FARP2|MET|FER|CSNK2B|CSNK2A2|SMAD2|ERBB2|WASF2|SMAD3|PTPRJ|CDC42|ACTN2|RAC1|WASF1,1.3947999477
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,40.3,0.5970149254,PRKAB1|IRS2|IRS1|STK11|MAPK8|MTOR|STAT3|PTPN11|CAMKK2|MAPK9|RELA|SLC2A1|ACSL3|CAMKK1|IKBKB|IKBKG|ACSL4|PRKAG2|TNFRSF1A|AKT2|PRKAA1|NFKB1|TRAF2|PRKAA2|PRKAB2|AKT3|PCK2,1.1463999748
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,26.2,0.8379574786,IRS2|IRS1|MAPK3|PRKCA|PIK3R1|ATP1A1|ATP1B3|MAPK1|NEDD4L|NR3C2|PDPK1,-0.4952999949
KEGG_ALZHEIMERS_DISEASE,15.1,0.1424936387,ITPR3|PLCB3|PSEN1|GAPDH|BAD|MAPK3|NDUFV3|APBB1|ADAM17|MAPK1|TNFRSF1A|CAPN2|ITPR2|ATP2A2|PSEN2|CDK5|CAPN1|EIF2AK3|MME|FAS|ITPR1|ADAM10|APH1A|GSK3B|ATF6,-2.5434000492
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,29.5,0.9622129387,UGP2|UGDH|GFPT2|GPI|PGM3|GFPT1|CYB5R1|NAGK|PGM1|RENBP|GALK2|PGM2|CYB5R3,0.0869999975
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,18.9,0.9420615156,MAPK14|MAP2K3|BAD|ALS2|GPX1|TNFRSF1A|DERL1|RAC1|RAB5A|DAXX,-0.1207000017
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,17,0.2917034237,NFYA|PSME3|HSP90AA1|CD74|CREB1|HSPA4|RFX5|CANX|HLA-A|HSP90AB1|HSPA8|TAP1|HSPA1L|TAP2|PSME2,2.0072000027
KEGG_APOPTOSIS,32.2,0.7357453038,RIPK1|PRKAR1A|BAD|DFFA|PRKAR1B|PIK3R1|RELA|ATM|AIFM1|TNFRSF10A|IKBKB|IKBKG|IRAK1|PRKACA|TNFRSF1A|CAPN2|PRKAR2B|AKT2|NFKB1|CAPN1|CASP10|FAS|PRKAR2A|TRAF2|IL1RAP|AKT3|MYD88|CASP6,0.674300015
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,35.1,0.4254959899,LMNA|SLC8A1|CTNNA1|ACTN4|ITGB4|PKP2|CTNNB1|EMD|ITGB1|ITGA5|DSG2|DSP|ITGA4|ITGB5|ACTB|ITGA3|CDH2|DMD|TCF7L2|ATP2A2|ACTN1|ITGB3|DAG1|JUP|ACTN2|CACNB3,1.6174999475
