Signature ID,Percent Overlap (P605_L_p),adj p-val (P605_L_p),Overlap (P605_L_p),Score (P605_L_p)
KEGG_ACUTE_MYELOID_LEUKEMIA,42.1,0.9806307183,SOS1|STAT5A|ARAF|BAD|BRAF|MAP2K2|RAF1|RPS6KB1|STAT3|MAPK1|EIF4EBP1|AKT2|NFKB1|RUNX1|MTOR|PIK3R5|RELA|IKBKB|PML|SOS2|IKBKG|STAT5B|JUP|PIK3R1,0.0320999995
KEGG_ADHERENS_JUNCTION,23.3,0.5862531376,IQGAP1|EP300|PTPN1|WASF2|WAS|MAP3K7|LMO7|MAPK1|CSNK2B|CTNND1|PTPN6|CREBBP|FYN|SMAD3|SRC|VCL|CTNNB1,0.9639999866
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,25.4,0.1091479419,PRKCQ|PRKAB1|IRS2|STAT3|STK11|SLC2A1|ACSL4|AKT2|NFKB1|MTOR|CAMKK2|RELA|IKBKB|IRS1|IKBKG|PCK2|PRKAA1,2.3791999817
KEGG_ALZHEIMERS_DISEASE,8.4,0.8462131752,BAD|ITPR3|NDUFV3|GAPDH|EIF2AK3|PSEN1|ADAM10|MAPK1|ADAM17|ATP2A2|ITPR1|PLCB2|FAS|GSK3B,0.3894999921
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,11.4,0.4287151119,CD74|CD8A|HSP90AA1|CREB1|RFX5|CANX|HSPA4|HSP90AB1|HSPA8|PSME2,1.3687000275
KEGG_APOPTOSIS,19.5,0.8710440698,RIPK1|BAD|PRKACA|DFFA|PRKAR1B|CASP10|AKT2|NFKB1|PRKAR1A|PIK3R5|RELA|IKBKB|IKBKG|FAS|CASP6|IL1RAP|PIK3R1,0.3614000082
KEGG_AXON_GUIDANCE,18.6,0.0732283465,PAK1|PAK2|NFATC2|NFATC3|RGS3|NCK1|PAK4|SEMA4D|DPYSL2|ABLIM1|CFL1|ABL1|CXCR4|GNAI3|MAPK1|PLXNC1|SEMA4B|LIMK1|FYN|PLXNA1|NCK2|NFATC1|GSK3B|SRGAP2,2.9400999546
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,30.7,0.965489632,SOS1|INPP5D|NFATC2|NFATC3|DAPP1|MAP2K2|RAF1|LYN|MAPK1|AKT2|NFKB1|PTPN6|PIK3R5|RELA|LILRB3|IKBKB|CARD11|SOS2|IKBKG|PRKCB|NFATC1|GSK3B|PIK3R1,0.0944000036
KEGG_CALCIUM_SIGNALING_PATHWAY,12.9,0.2291112365,PRKCA|ATP2B4|PTK2B|ITPKB|ITPR3|PRKACA|F2R|PLCG1|PHKB|CAMK4|VDAC2|ATP2A2|CYSLTR1|CAMK2G|VDAC1|ITPR1|PHKA2|SPHK2|PLCB2|CAMK2D|SLC25A6|PRKCB|MYLK,1.9608000517
KEGG_CELL_CYCLE,32.8,0.0060784314,CHEK1|CDK1|EP300|RB1|ANAPC1|CDK7|ABL1|RBL1|MCM4|WEE1|ORC6|ORC1|ANAPC2|PTTG1|DBF4|ORC2|YWHAZ|BUB1|RBL2|SKP1|PKMYT1|CREBBP|E2F1|BUB1B|MCM7|TFDP1|MCM2|CDC20|CCNE2|TFDP2|PRKDC|ANAPC5|SMC3|ZBTB17|CCNB2|TTK|HDAC1|SMAD3|STAG2|GSK3B|CDC23,-4.8734998703
KEGG_CHEMOKINE_SIGNALING_PATHWAY,19.6,0.0060784314,PXN|SOS1|DOCK2|PAK1|PRKCD|RASGRP2|PREX1|PTK2B|BRAF|PRKACA|RAF1|WAS|CXCR4|GNAI3|LYN|STAT3|SHC1|ARRB1|MAPK1|AKT2|ELMO1|NFKB1|PIK3R5|STAT1|RELA|IKBKB|SOS2|PLCB2|TIAM1|IKBKG|RAP1A|STAT5B|PRKCB|FOXO3|GSK3B|PIK3R1|JAK3,4.3320999146
KEGG_CHRONIC_MYELOID_LEUKEMIA,38.4,0.1290770298,SOS1|STAT5A|GAB2|CBL|ARAF|BAD|BRAF|RB1|MAP2K2|RAF1|ABL1|BCR|SHC1|MAPK1|AKT2|NFKB1|RUNX1|PIK3R5|RELA|E2F1|IKBKB|SOS2|IKBKG|HDAC1|SMAD3|STAT5B|CBLB|PIK3R1,2.3243999481
KEGG_COLORECTAL_CANCER,25.8,0.5392531876,ARAF|BAD|BRAF|RAF1|MAPK1|AKT2|MSH6|MLH1|AXIN1|PIK3R5|APC|SMAD3|GSK3B|APPL1|PIK3R1|CTNNB1,-1.132799983
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,3.8,0.9664705882,TNFRSF8|PLEKHO2|CXCR4|IFNAR2|TNFRSF11A|IL10RB|FAS|ACVR2A|IL1RAP|IL17RA,-0.0697000027
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,18.2,0.0761390151,RIPK1|RIPK3|MAVS|ZBP1|NFKB1|RELA|IKBKB|IKBKG|ADAR|IKBKE,2.5541000366
KEGG_DNA_REPLICATION,38.9,0.7425149701,RNASEH1|LIG1|POLD3|RNASEH2A|RPA2|MCM4|POLE|RFC3|POLA1|RFC1|MCM7|MCM2|POLA2|RPA1,-0.605700016
KEGG_ENDOCYTOSIS,22.7,0.4255490956,RAB11FIP1|VPS4B|CBL|AGAP2|ACAP1|PSD4|RUFY1|ARAP2|F2R|USP8|SH3KBP1|DNM1L|IQSEC1|RABEP1|ARAP3|CXCR4|ARFGAP2|PIKFYVE|ARFGAP1|EPN1|GIT1|ARRB1|EHD1|RAB11A|ARFGAP3|PIP5K1A|CHMP2B|DNAJC6|EPS15|SRC|CBLB|HSPA8|LDLR|RAB11FIP5|ACAP2|RAB5B|RAB5C|CLTC|ITCH|ASAP1|LDLRAP1,-1.3910000324
KEGG_ENDOMETRIAL_CANCER,34.6,0.8751924126,SOS1|ARAF|BAD|BRAF|MAP2K2|RAF1|MAPK1|AKT2|MLH1|AXIN1|PIK3R5|APC|SOS2|PDPK1|FOXO3|GSK3B|PIK3R1|CTNNB1,0.3885999918
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,19.1,0.1929961089,PAK1|PLCG1|ADAM10|LYN|GIT1|NFKB1|ADAM17|RELA|IKBKB|MAPK13|IKBKG|MAPK14|SRC,2.0657999516
KEGG_ERBB_SIGNALING_PATHWAY,39.1,0.0060784314,SOS1|STAT5A|PAK1|PAK2|CBL|PRKCA|ARAF|BAD|NCK1|PAK4|BRAF|MAP2K2|PLCG1|RAF1|ABL1|RPS6KB1|SHC1|MAPK1|EIF4EBP1|AKT2|MTOR|ABL2|PIK3R5|MAP2K7|CAMK2G|NCK2|SOS2|CAMK2D|STAT5B|SRC|CBLB|PRKCB|GSK3B|PIK3R1,5.092400074
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,29.1,0.0993872898,SOS1|GAB2|INPP5D|PRKCD|PRKCA|MAP2K2|PLCG1|RAF1|LYN|MAPK1|AKT2|PIK3R5|MAP2K7|FYN|MAPK13|SOS2|MAPK14|PDPK1|LAT|PRKCB|PLA2G4A|LCP2|PIK3R1,2.7186000347
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,31.2,0.0060784314,DOCK2|PAK1|GAB2|INPP5D|PRKCD|ARPC1B|PRKCA|MARCKSL1|WASF2|CFL1|ARPC5L|PLCG1|RAF1|WAS|DNM1L|RPS6KB1|PIKFYVE|LYN|MAPK1|AKT2|PTPRC|PIP5K1A|LIMK1|PIK3R5|SPHK2|LAT|PRKCB|PLA2G4A|PIK3R1|ASAP1,4.295899868
