Signature ID,Percent Overlap (P915_L_p),adj p-val (P915_L_p),Overlap (P915_L_p),Score (P915_L_p)
KEGG_ACUTE_MYELOID_LEUKEMIA,26.3,0.1843822844,SOS1|BRAF|MAPK1|STAT3|NFKB1|STAT5A|RAF1|MAP2K2|BAD|PML|ARAF|RELA|IKBKB|EIF4EBP1|RUNX1,2.013600111
KEGG_ADHERENS_JUNCTION,17.8,0.3065241584,WASF2|MAPK1|MAP3K7|CSNK2B|PTPN1|CREBBP|EP300|SRC|WAS|CTNND1|FYN|IQGAP1|LMO7,1.5254000425
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,14.9,0.003704918,PRKCQ|STAT3|NFKB1|PRKAB1|CAMKK2|STK11|IRS2|RELA|IKBKB|CAMKK1,4.5620999336
KEGG_AXON_GUIDANCE,13.2,0.003704918,NFATC2|NFATC3|NCK1|PAK2|RGS3|MAPK1|PLXNC1|PAK1|SEMA4D|PAK4|CFL1|FYN|GSK3B|NFATC1|ABL1|LIMK1|DPYSL2,3.5826001167
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,18.7,0.2007076944,SOS1|NFATC2|INPP5D|NFATC3|MAPK1|NFKB1|RAF1|MAP2K2|LYN|CARD11|RELA|IKBKB|GSK3B|NFATC1,1.9100999832
KEGG_CALCIUM_SIGNALING_PATHWAY,7.3,0.1385435675,PRKCA|PTK2B|ITPR1|SPHK2|ITPKB|PHKA2|PRKACA|ATP2A2|ITPR3|VDAC1|CAMK2G|VDAC2|CAMK4,2.1995000839
KEGG_CELL_CYCLE,23.2,0.1294016605,BUB1B|CDK7|BUB1|RB1|ANAPC1|RBL1|SMC3|ANAPC2|STAG2|YWHAZ|CREBBP|EP300|RBL2|ORC6|GSK3B|HDAC1|PTTG1|CDC20|ABL1|ORC2|DBF4|TFDP1|ORC1|E2F1|CCNB2|MCM2|CHEK1|CDK1|CDC23,-2.2267999649
KEGG_CHEMOKINE_SIGNALING_PATHWAY,11.6,0.003704918,SOS1|DOCK2|PXN|BRAF|MAPK1|STAT3|NFKB1|PRKCD|PREX1|ARRB1|RAF1|PAK1|PTK2B|LYN|STAT1|TIAM1|PRKACA|WAS|RELA|IKBKB|GSK3B|JAK3,6.590400219
KEGG_CHRONIC_MYELOID_LEUKEMIA,26,0.0896933722,SOS1|CBL|BRAF|MAPK1|NFKB1|STAT5A|RAF1|MAP2K2|BAD|RB1|CBLB|ARAF|RELA|IKBKB|HDAC1|ABL1|BCR|E2F1|RUNX1,2.514300108
KEGG_ENDOCYTOSIS,16,0.0214854427,CBL|RAB11FIP1|ARFGAP2|AGAP2|PSD4|DNM1L|SH3KBP1|ARRB1|GIT1|ASAP1|EPS15|ARFGAP1|PIKFYVE|VPS4B|CBLB|EHD1|ARFGAP3|CHMP2B|ACAP2|ACAP1|CLTC|SRC|RAB5B|RABEP1|RAB11A|USP8|IQSEC1|DAB2|NEDD4L,3.3368999958
