Signature ID,Percent Overlap (P905_H_p),adj p-val (P905_H_p),Overlap (P905_H_p),Score (P905_H_p)
KEGG_ACUTE_MYELOID_LEUKEMIA,50.9,0.5109855618,SOS2|RAF1|CHUK|BAD|MAPK1|RELA|STAT5B|AKT3|MAPK3|NFKB1|SOS1|EIF4EBP1|PML|MTOR|JUP|IKBKB|PIK3CD|BRAF|ARAF|PIK3R2|STAT5A|IKBKG|RPS6KB1|MAP2K2|STAT3|RUNX1|MAP2K1|TCF7L2|AKT2,-1.1564999819
KEGG_ADHERENS_JUNCTION,58.9,0.2786636226,TJP1|LMO7|PTPN1|ACTB|MAP3K7|MAPK1|CTNNB1|SMAD2|ERBB2|BAIAP2|MAPK3|PTPRJ|SORBS1|WASF2|VCL|SMAD3|NLK|CTNND1|SRC|CREBBP|PARD3|EP300|IQGAP1|ACTN4|FARP2|CTNNA1|CSNK2B|SSX2IP|CSNK2A2|PTPRM|EGFR|PTPRF|WASL|TGFBR2|ACTN1|WASF1|TCF7L2|RAC1|FER|FYN|CDC42|ACTN2|PTPRB,-1.7798999548
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,40.3,0.1619985835,CAMKK1|CHUK|IRS2|RELA|CAMKK2|MAPK9|PRKAB2|AKT3|MAPK8|NFKB1|STK11|RXRA|PRKAB1|IRS1|MTOR|RXRG|IKBKB|PTPN11|IKBKG|ACSL4|ACSL3|STAT3|PRKAG2|PCK2|AKT2|PRKAA1|NFKBIE,-2.4440999031
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,28.6,0.1500861982,NEDD4L|MAPK1|IRS2|PDPK1|MAPK3|IRS1|PIK3CD|PIK3R2|ATP1A1|SGK1|ATP1B3|PRKCA,-2.2618999481
KEGG_ALZHEIMERS_DISEASE,15.1,0.6199528592,ITPR3|BAD|EIF2AK3|MAPK1|ITPR1|SNCA|PSEN2|MAPK3|PSEN1|ATP2A2|ATF6|NDUFV3|GSK3B|ADAM17|APBB1|ITPR2|APH1A|GAPDH|UQCRFS1|PLCB3|CAPN1|CAPN2|PLCB4|ADAM10|UQCRC1,0.9363999963
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,34.1,0.4573890242,UGDH|UGP2|PMM1|GPI|GFPT2|PGM1|GFPT1|PGM2|RENBP|CYB5R1|PGM3|CYB5R3|NAGK|GNPDA1|GALK2,-1.3488999605
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,22.6,0.2811932458,CASP1|MAPK14|MAPK12|BAD|DAXX|ALS2|MAP2K3|NEFM|CCS|GPX1|RAB5A|RAC1,1.8733999729
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,12.5,0.148640807,HSP90AA1|HSP90AB1|HSPA4|RFX5|NFYA|CANX|HSPA8|CD74|PSME2|PSME3|HSPA1L,2.423500061
KEGG_APOPTOSIS,29.9,0.0849083665,RIPK1|DFFA|CHUK|BAD|ATM|RELA|PRKAR2A|IRAK1|PRKAR1A|AKT3|AIFM1|NFKB1|CASP10|PRKAR1B|PRKACA|IKBKB|PIK3CD|PIK3R2|IKBKG|TNFRSF10A|PRKAR2B|IL1RAP|CAPN1|AKT2|CAPN2|MYD88,2.9549000263
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,27,0.203173387,LMNA|EMD|ACTB|CTNNB1|DSG2|DSP|ATP2A2|JUP|ITGB5|ITGB1|ACTN4|CTNNA1|CACNB3|ITGA4|ITGB3|DMD|ACTN1|TCF7L2|DAG1|ACTN2,2.0732998848
KEGG_AXON_GUIDANCE,35.7,0.0079285714,PAK2|PAK1|PLXNC1|LIMK1|NFATC2|MAPK1|PTK2|ARHGEF12|DPYSL2|NCK1|ABLIM3|ABL1|SRGAP2|SRGAP1|PAK4|CFL1|MAPK3|ROCK2|SEMA6A|ABLIM1|NFATC3|EPHA2|PLXNB3|NFAT5|ITGB1|GSK3B|FES|PLXNA1|NFATC1|PLXNB2|EPHB4|ROBO1|LIMK2|PAK6|SEMA6B|SEMA4C|NCK2|PLXNA2|EFNB1|SEMA6D|RAC1|EFNB3|RGS3|FYN|ROCK1|CDC42,-5.991399765
KEGG_BASAL_CELL_CARCINOMA,18.2,0.8129597612,SUFU|CTNNB1|APC|AXIN1|GLI2|GSK3B|APC2|GLI3|FZD6|TCF7L2,-0.4975000024
KEGG_BASAL_TRANSCRIPTION_FACTORS,37.1,0.0079285714,GTF2I|TAF6|TAF7|GTF2F2|TAF9|GTF2F1|TAF4B|TAF2|GTF2B|GTF2IRD1|TAF12|TAF10|TAF6L,5.6510000229
KEGG_BASE_EXCISION_REPAIR,34.3,0.3322306238,HMGB1|PARP4|POLD3|POLE|XRCC1|LIG1|POLD2|MBD4|LIG3|UNG|PARP1|POLE3,1.7002999783
KEGG_BLADDER_CANCER,38.1,0.0079285714,RPS6KA5|RAF1|RB1|MAPK1|ERBB2|MAPK3|DAPK1|BRAF|ARAF|MAP2K2|RASSF1|EGFR|E2F3|CDKN1A|MAP2K1|E2F1,-3.7755000591
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,37.3,0.7469734636,SOS2|RAF1|BCL10|CHUK|NFATC2|MAPK1|JUN|RELA|AKT3|MAPK3|NFKB1|CD22|SOS1|NFATC3|IKBKB|PIK3CD|LYN|NFAT5|GSK3B|PIK3R2|IKBKG|NFATC1|MAP2K2|MAP2K1|PIK3AP1|RAC1|AKT2|NFKBIE,0.7251999974
